id,Name,Star,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6 [de],Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,2MASS J00040288-6410358,Sirius,0008.6,4.1769000000000005e+30,1189647000.0,196.971799550325
2,2MASS J00242463-0158201,Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.51116500384123
3,WISEP J004701.06+680352.1 [fr],Altair,0017,3.5802e+30,1252260000.0,152.37175636643
4,SDSSp J010752.33+004156.1 [de],Fomalhaut,0025,3.7791e+30,1252260000.0,160.83685394234274
5,2MASS J04390101-2353083 [de],Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
6,LSR 0602+3910 [de],61 Cygni,011.41,1.3923000000000002e+30,462640500.0,159.02202111653529
7,2MASS J06244595-4521548 [de],54 Piscium,036.1,1.5116400000000002e+30,653958000.0,159.02202111653529
